UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2
1,1,The store has a wide c__________ of products for customers to choose from.,상점은 고객이 선택할 수 있는 다양한 범주의 제품을 보유하고 있다.,category,
1,1,I was thrilled when I e__________ my favorite author at the book signing event.,나는 책 서명회에서 내가 좋아하는 작가를 우연히 만났을 때 무척 기뻤다.,encountered,
1,1,Only students with e__________ talent are accepted into this prestigious music school.,뛰어난 재능을 가진 학생들만이 이 명망 높은 음악 학교에 입학이 허가된다.,exceptional,
1,2,Most children develop a strong d__________ for vegetables at some point in their childhood.,대부분의 아이들은 어린 시절 어느 시점에 채소에 대한 강한 혐오감을 갖게 된다.,dislike,
1,2,Reading a good book can o__________ your mind for hours and provide an escape from reality.,좋은 책을 읽는 것은 몇 시간 동안 당신의 마음을 사로잡고 현실에서 탈출구를 제공할 수 있다.,occupy,
1,2,The company offers an attractive i__________ package to recruit top talent in the industry.,회사는 업계 최고의 인재를 모집하기 위해 매력적인 인센티브 패키지를 제공한다.,incentive,
1,3,Tensions between the neighbors began to e__________ after repeated noise complaints.,이웃 간의 긴장은 반복적인 소음 불만 이후 점점 고조되기 시작했다.,escalate,
1,3,Her e__________ about the size of the crowd at her concert made her seem less credible.,그녀의 콘서트 관중 규모에 대한 과장은 그녀를 덜 신뢰할 수 있게 만들었다.,exaggeration,
1,3,The d__________ marketing campaign misled consumers about the product's effectiveness.,그 기만적인 마케팅 캠페인은 제품의 효과에 관해 소비자들을 오도했다.,deceptive,
1,4,Different cultures have different social n__________ regarding personal space and eye contact.,서로 다른 문화는 개인 공간과 눈 맞춤에 관한 서로 다른 사회적 규범을 가지고 있다.,norms,
1,4,A helpful p__________ stopped to assist when my car broke down on the highway.,도움을 주는 행인이 내 차가 고속도로에서 고장났을 때 멈춰 도와주었다.,passerby,
1,4,The customer service department became u__________ after the company downsized its staff.,고객 서비스 부서는 회사가 직원을 감축한 후 응답하지 않게 되었다.,unresponsive,
1,5,The professor teaches p__________ at the university and specializes in ethical theory.,그 교수는 대학에서 철학을 가르치며 윤리 이론을 전공하고 있다.,philosophy,
1,5,Understanding your cultural h__________ can provide a strong sense of identity and belonging.,자신의 문화적 유산을 이해하는 것은 강한 정체성과 소속감을 제공할 수 있다.,heritage,
1,5,Many ancient civilizations built impressive r__________ monuments to honor their gods.,많은 고대 문명은 그들의 신을 기리기 위해 인상적인 종교적 기념물을 건설했다.,religious,
1,6,Government c__________ of power can lead to inefficiency in public service delivery.,정부의 권력 집중화는 공공 서비스 제공에 있어 비효율성을 초래할 수 있다.,centralization,
1,6,Employees will be i__________ with new ID cards that include enhanced security features.,직원들에게는 향상된 보안 기능이 포함된 새로운 신분증이 발급될 것이다.,issued,
1,6,The new mobile app is designed to a__________ users with daily planning and organization.,새로운 모바일 앱은 사용자들의 일일 계획과 조직화를 돕도록 설계되었다.,assist,
1,7,Identifying the p__________ cause of a problem is essential for finding an effective solution.,문제의 주요 원인을 파악하는 것은 효과적인 해결책을 찾는 데 필수적이다.,primary,
1,7,Limited e__________ to sunlight can lead to vitamin D deficiency in many people.,제한된 햇빛 노출은 많은 사람들에게 비타민 D 결핍을 초래할 수 있다.,exposure,
1,7,The documentary explores how territorial a__________ is common in many animal species.,그 다큐멘터리는 영역적 공격성이 어떻게 많은 동물 종에서 흔한지 탐구한다.,aggression,
1,8,Using phones during class can be d__________ to both teachers and students.,수업 중 휴대폰 사용은 교사와 학생 모두에게 방해가 될 수 있다.,disruptive,
1,8,The subtle c__________ from the director indicated that the actor should move to the left.,감독의 미묘한 신호는 배우가 왼쪽으로 이동해야 함을 나타냈다.,cue,
1,8,Students must c__________ on their studies if they want to achieve academic success.,학생들이 학업적 성공을 이루려면 공부에 집중해야 한다.,concentrate,
1,9,The hotel offers 24-hour room service for the c__________ of its guests.,호텔은 투숙객의 편의를 위해 24시간 룸서비스를 제공한다.,convenience,
1,9,A successful business must generate sufficient p__________ to sustain operations and grow.,성공적인 사업은 운영을 유지하고 성장하기 위해 충분한 이익을 창출해야 한다.,profit,profits
1,9,Many doctors choose to s__________ in a specific area of medicine after completing general training.,많은 의사들은 일반 훈련을 마친 후 의학의 특정 분야를 전문으로 하기로 선택한다.,specialize,
1,10,The chef is s__________ the vegetables into thin strips for the stir-fry dish.,그 요리사는 볶음 요리를 위해 채소를 얇은 조각으로 자르고 있다.,slicing,
1,10,His immediate r__________ to the surprise party showed genuine shock and happiness.,깜짝 파티에 대한 그의 즉각적인 반응은 진정한 충격과 행복을 보여주었다.,reaction,
1,10,I can v__________ recall every detail of that amazing sunset at the beach.,나는 해변에서 본 그 놀라운 일몰의 모든 세부 사항을 생생하게 기억할 수 있다.,vividly,
1,11,Scientists control each v__________ in the experiment to ensure accurate results.,과학자들은 정확한 결과를 보장하기 위해 실험에서 각 변수를 제어한다.,variable,
1,11,The problem has multiple d__________ that need to be considered for a comprehensive solution.,그 문제는 포괄적인 해결책을 위해 고려해야 할 여러 차원을 가지고 있다.,dimensions,
1,11,Overcoming p__________ against different cultures is essential for creating an inclusive society.,다른 문화에 대한 편견을 극복하는 것은 포용적인 사회를 만드는 데 필수적이다.,prejudice,
1,12,Never a__________ that silence means agreement in a business negotiation.,비즈니스 협상에서 침묵이 동의를 의미한다고 추정하지 마라.,assume,
1,12,A r__________ healthcare system quickly addresses patients' needs and concerns.,즉각 반응하는 의료 시스템은 환자의 요구와 우려를 신속하게 해결한다.,responsive,
1,12,Ongoing c__________ in the region has displaced thousands of innocent civilians.,그 지역의 지속적인 분쟁으로 인해 수천 명의 무고한 시민들이 떠나야 했다.,conflict,conflicts
2,1,Even after reading the instruction manual twice, I still couldn't c__________ how to assemble the furniture.,설명서를 두 번 읽고 나서도 나는 여전히 가구를 조립하는 방법을 이해할 수 없었다.,comprehend,
2,1,She became f__________ in Spanish after living in Madrid for just six months.,그녀는 마드리드에서 단 6개월 동안 살고 나서 스페인어에 유창해졌다.,fluent,
2,1,The working hours of the part-time job o__________ with my university classes.,그 아르바이트의 근무 시간은 내 대학 수업과 겹친다.,overlaps,
2,2,We need c__________ evidence before we can make any accusations about the incident.,우리가 그 사건에 대해 어떤 비난을 하기 전에 구체적인 증거가 필요하다.,concrete,
2,2,Managing a monthly household b__________ helps families plan their spending more effectively.,월간 가계 예산을 관리하는 것은 가족들이 더 효과적으로 지출을 계획하는 데 도움이 된다.,budget,budgets
2,2,The young chess player is considered a g__________ in the field despite her young age.,그 어린 체스 선수는 어린 나이에도 불구하고 그 분야의 천재로 여겨진다.,genius,
2,3,Large corporations sometimes e__________ natural resources without considering environmental impacts.,대기업들은 때때로 환경적 영향을 고려하지 않고 천연 자원을 착취한다.,exploit,
2,3,The architect has d__________ an innovative solution for the limited space in the apartment.,그 건축가는 아파트의 제한된 공간을 위한 혁신적인 해결책을 고안했다.,devised,
2,3,Scientists discovered rich d__________ of rare minerals in the remote mountain range.,과학자들은 외딴 산맥에서 희귀 광물의 풍부한 매장층을 발견했다.,deposits,
2,4,The hospital can treat m__________ patients at once in their emergency department.,병원은 응급실에서 한 번에 여러 환자를 치료할 수 있다.,multiple,many
2,4,I fail to see the r__________ of your comments to our current discussion topic.,나는 당신의 의견이 우리의 현재 토론 주제와 어떤 관련성이 있는지 이해하지 못하겠다.,relevance,
2,4,Increasing operational efficiency is key to improving the company's p__________.,운영 효율성을 높이는 것은 회사의 수익성을 개선하는 데 핵심이다.,profitability,
2,5,Rapid u__________ in developing countries often creates challenges for infrastructure planning.,개발 도상국의 급속한 도시화는 인프라 계획에 종종 도전을 가져온다.,urbanization,
2,5,The garden is e__________ by a beautiful stone wall for privacy and security.,그 정원은 사생활 보호와 안전을 위해 아름다운 돌담으로 둘러싸여 있다.,enclosed,
2,5,Many countries are searching for renewable energy s__________s to reduce carbon emissions.,많은 국가들이 탄소 배출을 줄이기 위해 재생 에너지 대체품을 찾고 있다.,substitute,
2,6,Regular practice will r__________ the skills you learned in training.,정기적인 연습은 훈련에서 배운 기술을 강화할 것이다.,reinforce,
2,6,My neighbor has a t__________ cough that keeps him awake at night.,내 이웃은 밤에 그를 깨우는 고질적인 기침이 있다.,troublesome,
2,6,Understanding your personal w__________ is the first step toward self-improvement.,자신의 약점을 이해하는 것은 자기 계발을 향한 첫 번째 단계이다.,weaknesses,
2,7,The ancient a__________ of this region built remarkable structures that still stand today.,이 지역의 고대 조상들은 오늘날까지도 서 있는 놀라운 구조물을 지었다.,ancestor,ancestors
2,7,Mozart c__________ his first symphony when he was just eight years old.,모차르트는 겨우 8살 때 그의 첫 번째 교향곡을 작곡했다.,composed,
2,7,The advertisement contains m__________ claims about the product's health benefits.,그 광고는 제품의 건강상 이점에 대한 오해의 소지가 있는 주장을 포함하고 있다.,misleading,
2,8,The scholarship application will be evaluated based on several c__________.,장학금 신청서는 여러 기준에 따라 평가될 것이다.,criteria,
2,8,It's important to p__________ for emergencies by having a well-stocked first aid kit at home.,집에 잘 갖춰진 응급 처치 키트를 두어 비상 상황에 대비하는 것이 중요하다.,prepare,
2,8,The unexpected announcement p__________ many employees to update their resumes.,예상치 못한 발표는 많은 직원들이 이력서를 업데이트하도록 촉발했다.,prompted,prompts
2,9,Local businesses f__________ during the summer tourist season in the coastal town.,지역 사업체들은 해안 도시의 여름 관광 시즌 동안 번창한다.,flourished,
2,9,The company plans to c__________ a new manufacturing facility in the industrial park.,그 회사는 산업 단지에 새로운 제조 시설을 건설할 계획이다.,construct,
2,9,Reducing energy c__________ is both environmentally friendly and cost-effective for businesses.,에너지 소비를 줄이는 것은 기업에게 환경 친화적이면서도 비용 효율적이다.,consumption,
2,10,The foundation will g__________ funds to organizations supporting childhood education.,그 재단은 아동 교육을 지원하는 단체에 자금을 지원할 것이다.,grant,
2,10,The technology p__________ faced criticism for not considering ethical implications of the new invention.,그 기술 개척자는 새로운 발명의 윤리적 의미를 고려하지 않은 것에 대해 비판을 받았다.,pioneer,pioneers
2,10,Managers must a__________ resources effectively to maximize productivity in the workplace.,관리자들은 직장에서 생산성을 극대화하기 위해 자원을 효과적으로 할당해야 한다.,allocate,
2,11,After the surgery, he attended regular physical t__________ sessions to regain strength in his legs.,수술 후, 그는 다리의 힘을 회복하기 위해 정기적인 물리 치료 세션에 참석했다.,therapy,
2,11,She decided to a__________ the job offer even though it meant relocating to another city.,그녀는 다른 도시로 이사해야 한다는 것을 의미했지만 그 일자리 제안을 수락하기로 결정했다.,accept,
2,11,Social media can have a significant e__________ on teenagers' self-esteem and mental health.,소셜 미디어는 십대들의 자존감과 정신 건강에 상당한 영향을 미칠 수 있다.,effect,
2,12,You must e__________ the trust of your clients through consistent quality service.,일관된 품질 서비스를 통해 고객의 신뢰를 얻어야 한다.,earn,
2,12,The new product must s__________ strict safety standards before it can be sold to consumers.,새 제품은 소비자에게 판매되기 전에 엄격한 안전 기준을 충족해야 한다.,satisfy,
2,12,I__________ in manufacturing processes has led to significant improvements in productivity.,제조 과정의 혁신은 생산성의 상당한 개선으로 이어졌다.,Innovation,innovation
5,1,International C__________ is essential for addressing global challenges like climate change.,기후 변화와 같은 글로벌 도전 과제를 해결하기 위해서는 국제 협력이 필수적이다.,Cooperation,cooperation
5,1,Questions of m__________ often arise when discussing controversial scientific advancements.,논란이 많은 과학적 진보를 논의할 때 종종 도덕성에 관한 질문이 제기된다.,morality,
5,1,The campaign aims to p__________ healthy lifestyle choices among young people.,그 캠페인은 젊은이들 사이에서 건강한 생활 방식 선택을 촉진하는 것을 목표로 한다.,promote,
5,2,We shouldn't g__________ based on a few examples; each case is unique.,우리는 몇 가지 사례를 기반으로 일반화해서는 안 된다; 각 사례는 고유하다.,generalize,
5,2,The research provides q__________ data on the economic impact of the new policy.,그 연구는 새로운 정책의 경제적 영향에 대한 정량적 데이터를 제공한다.,quantitative,
5,2,Minor a__________ to your diet and exercise routine can lead to significant health improvements.,식이요법과 운동 루틴의 작은 조정은 상당한 건강 개선으로 이어질 수 있다.,adjustment,
5,3,The CEO tried to j__________ the company's decision to close several branches.,CEO는 여러 지점을 폐쇄하기로 한 회사의 결정을 정당화하려고 노력했다.,justify,
5,3,The d__________ wolf maintains control of the pack through various social behaviors.,우세한 늑대는 다양한 사회적 행동을 통해 무리를 통제한다.,dominant,
5,3,Truth will p__________ in the end, despite temporary setbacks and challenges.,진실은 일시적인 좌절과 도전에도 불구하고 결국에는 승리할 것이다.,prevail,
5,4,Many i__________ families bring valuable cultural diversity to their new communities.,많은 이민자 가족들은 그들의 새로운 지역 사회에 가치 있는 문화적 다양성을 가져온다.,immigrant,
5,4,She has a__________ to become a renowned scientist and make significant discoveries.,그녀는 저명한 과학자가 되어 중요한 발견을 하고 싶다는 열망을 가지고 있다.,aspiration,aspirations
